
Date: 22nd feb 2023
Description: Collecting data for prediction at 10th min
r,g,b,h,s,v,l,a,lab,y,cr,cb,val
106,86,75,11,75,106,98,134,137,91,139,119,100,5.321666955947876
104,81,71,9,81,104,93,136,137,87,140,119,100,10.196443557739258
103,80,71,8,79,103,92,136,137,86,140,120,100,15.054969310760498
103,79,70,8,82,103,91,137,137,85,141,120,100,19.906822681427002
103,78,70,7,82,103,91,137,137,85,141,120,100,24.754127979278564
103,77,69,7,84,103,90,138,137,84,142,120,100,29.614838123321533
102,76,69,6,83,102,89,138,136,83,142,120,100,34.410484790802
102,75,68,6,85,102,88,138,137,82,142,120,100,39.3072829246521
102,74,68,5,85,102,87,139,136,82,142,120,100,44.13598942756653
102,73,67,5,88,102,87,140,136,81,143,120,100,49.007158041000366
103,73,67,5,89,103,87,140,137,81,144,120,100,53.876439809799194
102,72,67,4,88,102,86,140,136,80,144,121,100,58.72869515419006
102,71,66,4,90,102,85,140,136,80,144,120,100,63.63032364845276
102,70,66,3,90,102,85,141,136,79,144,121,100,68.51232051849365
101,70,65,4,91,101,84,141,136,79,144,120,100,73.3654112815857
102,69,65,3,93,102,84,142,136,78,145,121,100,78.2329638004303
101,69,65,3,91,101,83,141,136,78,144,121,100,83.11458349227905
100,68,65,3,89,100,82,142,135,77,144,121,100,87.91241931915283
102,68,65,2,93,102,83,142,136,78,145,121,100,92.75196981430054
102,68,64,3,95,102,83,142,136,78,145,120,100,97.60670018196106
102,67,64,2,95,102,82,143,136,77,146,121,100,102.4904203414917
103,67,63,3,99,103,83,143,137,77,147,120,100,107.32131576538086
102,66,63,2,98,102,82,144,136,76,147,121,100,112.15050458908081
101,66,62,3,98,101,81,142,137,76,146,120,100,116.99194717407227
102,65,62,2,100,102,81,144,137,76,147,120,100,121.89060187339783
102,65,62,2,100,102,81,144,137,76,147,120,100,126.7163655757904
101,64,61,2,101,101,80,144,137,75,147,120,100,131.5931487083435
102,64,61,2,103,102,80,144,137,75,147,120,100,136.5077052116394
101,63,62,1,98,101,79,145,136,74,147,121,100,141.3798749446869
101,63,62,1,98,101,79,145,136,74,147,121,100,146.26941418647766
101,63,61,2,101,101,79,145,136,74,147,121,100,151.1227924823761
100,62,61,1,99,100,78,145,136,73,147,121,100,155.2546694278717
101,62,61,1,101,101,78,145,136,74,147,121,100,160.10687279701233
101,62,61,1,101,101,78,145,136,74,147,121,100,164.97739958763123
100,61,61,0,99,100,77,145,135,73,147,121,100,169.062335729599
101,61,61,0,101,101,78,146,135,73,148,121,100,173.95343804359436
100,61,60,1,102,100,77,145,136,73,147,121,100,178.80057430267334
101,60,60,0,104,101,77,146,136,72,149,121,100,183.60140371322632
