

Date: 11/2
r,g,b,h,s,v,l,a,lab,y,cr,cb
137,123,110,14,50,137,134,131,137,126,136,119,0
119,43,58,174,163,119,75,163,136,67,165,123,100
Date: 11 feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
120,45,58,175,159,120,76,162,137,69,164,122,100
120,44,56,175,162,120,76,162,138,68,165,121,100
128,62,69,177,131,128,89,157,137,83,160,120,50
111,29,43,175,188,111,64,165,140,55,168,121,150
106,20,33,175,207,106,58,166,143,47,170,120,200
99,12,26,175,224,99,51,166,145,40,170,120,250
92,7,20,175,236,92,45,165,146,34,169,120,300
Date: 16th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
Date: 16 feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
97,15,31,174,216,97,51,165,141,41,168,122,1000
97,15,30,175,216,97,51,165,142,41,168,122,1000
98,15,30,175,216,98,52,165,143,42,168,121,1000
98,15,30,175,216,98,52,165,143,42,168,121,1000
98,15,30,175,216,98,52,165,143,42,168,121,1000
97,15,30,175,216,97,51,165,142,41,168,122,1000
98,15,30,175,216,98,52,165,143,42,168,121,1000
98,15,30,175,216,98,52,165,143,42,168,121,1000
97,16,30,175,213,97,52,164,143,42,167,121,1000
98,15,30,175,216,98,52,165,143,42,168,121,1000
104,22,36,175,201,104,57,165,141,48,168,121,800
103,22,37,174,201,103,57,164,140,48,167,122,800
104,22,36,175,201,104,57,165,141,48,168,121,800
103,22,36,175,201,103,57,164,141,48,167,121,800
103,22,36,175,201,103,57,164,141,48,167,121,800
104,22,36,175,201,104,57,165,141,48,168,121,800
103,22,36,175,201,103,57,164,141,48,167,121,800
103,22,36,175,201,103,57,164,141,48,167,121,800
103,22,36,175,201,103,57,164,141,48,167,121,800
103,22,36,175,201,103,57,164,141,48,167,121,800
114,40,55,174,166,114,71,162,136,64,164,123,600
116,41,53,175,165,116,72,162,138,65,164,121,600
114,40,54,174,166,114,71,162,137,64,164,122,600
115,41,54,175,164,115,72,162,137,65,164,122,600
114,40,54,174,166,114,71,162,137,64,164,122,600
115,41,54,175,164,115,72,162,137,65,164,122,600
116,41,54,175,165,116,72,162,137,65,164,122,600
115,40,54,174,166,115,71,162,137,64,164,122,600
115,41,54,175,164,115,72,162,137,65,164,122,600
115,40,54,174,166,115,71,162,137,64,164,122,600
119,50,61,175,148,119,78,160,136,72,162,122,400
120,50,61,175,149,120,79,160,136,72,162,122,400
119,49,62,174,150,119,78,160,135,71,162,123,400
119,50,61,175,148,119,78,160,136,72,162,122,400
120,50,61,175,149,120,79,160,136,72,162,122,400
119,50,61,175,148,119,78,160,136,72,162,122,400
