
Date: 14th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
82,59,160,127,161,160,84,164,76,77,132,175,15
137,81,93,174,104,137,105,153,131,99,155,125,15
137,81,93,174,104,137,105,153,131,99,155,125,15
137,81,93,174,104,137,105,153,131,99,155,125,15
137,81,93,174,104,137,105,153,131,99,155,125,15
137,81,93,174,104,137,105,153,131,99,155,125,15
137,81,93,174,104,137,105,153,131,99,155,125,15
137,81,93,174,104,137,105,153,131,99,155,125,15
137,81,92,174,104,137,105,153,132,99,155,124,15
138,81,92,174,105,138,105,153,132,99,156,124,15
135,78,93,172,108,135,103,154,130,97,155,126,20
135,78,93,172,108,135,103,154,130,97,155,126,20
134,77,93,172,108,134,102,154,129,96,155,126,20
135,78,93,172,108,135,103,154,130,97,155,126,20
135,78,93,172,108,135,103,154,130,97,155,126,20
135,78,93,172,108,135,103,154,130,97,155,126,20
135,78,93,172,108,135,103,154,130,97,155,126,20
135,78,93,172,108,135,103,154,130,97,155,126,20
133,77,95,170,107,133,101,154,128,96,154,127,20
135,77,95,171,110,135,102,155,128,96,156,127,20
134,72,93,170,118,134,99,157,127,93,157,128,25
134,72,93,170,118,134,99,157,127,93,157,128,25
134,72,93,170,118,134,99,157,127,93,157,128,25
134,72,93,170,118,134,99,157,127,93,157,128,25
134,72,93,170,118,134,99,157,127,93,157,128,25
133,72,93,170,117,133,98,157,127,93,157,128,25
133,72,93,170,117,133,98,157,127,93,157,128,25
133,72,93,170,117,133,98,157,127,93,157,128,25
133,72,93,170,117,133,98,157,127,93,157,128,25
133,72,93,170,117,133,98,157,127,93,157,128,25
124,62,86,168,127,124,89,158,126,83,157,130,30
124,62,86,168,127,124,89,158,126,83,157,130,30
124,62,86,168,127,124,89,158,126,83,157,130,30
124,62,86,168,127,124,89,158,126,83,157,130,30
124,62,86,168,127,124,89,158,126,83,157,130,30
124,62,86,168,127,124,89,158,126,83,157,130,30
124,62,85,169,127,124,89,158,126,83,157,129,30
124,62,86,168,127,124,89,158,126,83,157,130,30
124,62,85,169,127,124,89,158,126,83,157,129,30
124,62,86,168,127,124,89,158,126,83,157,130,30
126,58,80,170,138,126,87,160,129,81,160,127,35
127,59,81,170,137,127,88,160,129,82,160,127,35
127,59,81,170,137,127,88,160,129,82,160,127,35
127,59,81,170,137,127,88,160,129,82,160,127,35
127,59,81,170,137,127,88,160,129,82,160,127,35
126,58,81,170,138,126,87,160,128,81,160,128,35
128,59,81,170,137,128,88,160,129,82,161,127,35
128,58,81,170,139,128,88,161,129,82,161,127,35
127,58,81,170,139,127,87,160,128,81,161,128,35
127,58,81,170,139,127,87,160,128,81,161,128,35
128,56,76,172,143,128,86,161,131,80,162,126,40
129,56,76,172,144,129,87,162,131,80,163,126,40
128,56,76,172,143,128,86,161,131,80,162,126,40
129,56,77,171,144,129,87,162,131,80,163,126,40
128,56,77,171,143,128,86,161,131,80,162,126,40
129,56,76,172,144,129,87,162,131,80,163,126,40
129,56,76,172,144,129,87,162,131,80,163,126,40
129,56,76,172,144,129,87,162,131,80,163,126,40
128,56,76,172,143,128,86,161,131,80,162,126,40
129,56,76,172,144,129,87,162,131,80,163,126,40
123,54,71,173,143,123,83,160,132,77,161,125,45
123,54,70,173,143,123,83,159,133,76,162,125,45
123,54,70,173,143,123,83,159,133,76,162,125,45
123,54,70,173,143,123,83,159,133,76,162,125,45
123,54,70,173,143,123,83,159,133,76,162,125,45
122,53,71,172,144,122,82,160,132,76,161,125,45
122,54,70,173,142,122,82,159,133,76,161,125,45
122,53,70,173,144,122,82,159,132,76,161,125,45
122,54,68,174,142,122,82,159,134,76,161,123,45
122,54,68,174,142,122,82,159,134,76,161,123,45
116,43,62,172,160,116,74,162,133,67,163,125,50
116,43,62,172,160,116,74,162,133,67,163,125,50
116,43,61,173,160,116,74,162,133,67,163,125,50
115,43,61,172,160,115,73,162,133,67,162,125,50
116,43,62,172,160,116,74,162,133,67,163,125,50
116,43,62,172,160,116,74,162,133,67,163,125,50
116,43,62,172,160,116,74,162,133,67,163,125,50
116,43,62,172,160,116,74,162,133,67,163,125,50
116,43,62,172,160,116,74,162,133,67,163,125,50
116,43,62,172,160,116,74,162,133,67,163,125,50
117,45,59,174,157,117,75,161,136,68,163,123,55
117,44,60,173,159,117,74,162,135,68,163,123,55
117,44,59,174,159,117,74,162,135,68,163,123,55
117,44,59,174,159,117,74,162,135,68,163,123,55
118,44,59,174,160,118,75,162,136,68,164,123,55
117,44,59,174,159,117,74,162,135,68,163,123,55
117,44,60,173,159,117,74,162,135,68,163,123,55
118,44,60,174,160,118,75,162,135,68,164,123,55
117,44,59,174,159,117,74,162,135,68,163,123,55
117,44,59,174,159,117,74,162,135,68,163,123,55
