Date: 14th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
142,112,128,164,54,142,129,143,124,123,142,131,15
143,114,124,170,52,143,130,141,127,124,142,128,15
143,113,124,169,53,143,130,142,126,123,142,129,15
143,114,124,170,52,143,130,141,127,124,142,128,15
143,113,124,169,53,143,130,142,126,123,142,129,15
143,114,124,170,52,143,130,141,127,124,142,128,15
143,114,124,170,52,143,130,141,127,124,142,128,15
143,113,124,169,53,143,130,142,126,123,142,129,15
143,113,124,169,53,143,130,142,126,123,142,129,15
143,114,124,170,52,143,130,141,127,124,142,128,15
139,106,122,165,61,139,124,144,124,118,143,130,20
139,107,118,170,59,139,124,143,127,118,143,128,20
139,107,118,170,59,139,124,143,127,118,143,128,20
139,107,118,170,59,139,124,143,127,118,143,128,20
139,107,118,170,59,139,124,143,127,118,143,128,20
139,107,118,170,59,139,124,143,127,118,143,128,20
139,107,118,170,59,139,124,143,127,118,143,128,20
139,107,118,170,59,139,124,143,127,118,143,128,20
139,107,118,170,59,139,124,143,127,118,143,128,20
138,106,118,169,59,138,123,143,126,117,143,129,20
159,105,120,172,87,159,129,152,129,123,154,126,25
159,105,119,172,87,159,129,152,129,123,154,126,25
158,105,119,172,86,158,129,151,129,122,154,126,25
158,105,119,172,86,158,129,151,129,122,154,126,25
159,104,119,172,88,159,128,152,129,122,154,126,25
158,105,119,172,86,158,129,151,129,122,154,126,25
158,105,119,172,86,158,129,151,129,122,154,126,25
159,105,119,172,87,159,129,152,129,123,154,126,25
158,105,119,172,86,158,129,151,129,122,154,126,25
159,105,119,172,87,159,129,152,129,123,154,126,25
151,95,112,171,95,151,120,153,128,114,154,127,30
152,95,112,171,96,152,120,154,128,114,155,127,30
151,95,112,171,95,151,120,153,128,114,154,127,30
150,94,114,169,95,150,119,154,126,113,154,129,30
151,94,114,169,96,151,119,154,126,113,155,129,30
150,94,115,169,95,150,119,154,126,113,154,129,30
150,94,115,169,95,150,119,154,126,113,154,129,30
151,94,114,169,96,151,119,154,126,113,155,129,30
150,94,114,169,95,150,119,154,126,113,154,129,30
150,94,114,169,95,150,119,154,126,113,154,129,30
135,90,105,170,85,135,111,149,127,105,149,128,35
135,90,105,170,85,135,111,149,127,105,149,128,35
136,90,105,170,86,136,111,149,127,105,150,128,35
136,90,105,170,86,136,111,149,127,105,150,128,35
134,90,105,170,84,134,111,148,127,105,149,128,35
135,90,105,170,85,135,111,149,127,105,149,128,35
135,90,105,170,85,135,111,149,127,105,149,128,35
135,90,105,170,85,135,111,149,127,105,149,128,35
136,90,105,170,86,136,111,149,127,105,150,128,35
135,90,105,170,85,135,111,149,127,105,149,128,35
136,85,100,171,96,136,108,151,128,102,152,127,40
136,85,100,171,96,136,108,151,128,102,152,127,40
136,85,101,171,96,136,108,152,128,102,152,127,40
136,85,100,171,96,136,108,151,128,102,152,127,40
135,85,100,171,94,135,107,151,128,102,152,127,40
136,85,100,171,96,136,108,151,128,102,152,127,40
136,85,100,171,96,136,108,151,128,102,152,127,40
136,85,100,171,96,136,108,151,128,102,152,127,40
136,85,100,171,96,136,108,151,128,102,152,127,40
138,81,94,173,105,138,106,153,131,100,155,125,45
139,81,94,173,106,139,106,154,131,100,156,125,45
140,81,92,174,107,140,106,154,132,100,157,123,45
140,81,93,174,107,140,106,154,132,100,157,124,45
140,82,92,175,106,140,107,153,133,100,157,123,45
139,81,92,174,106,139,106,154,132,100,156,123,45
140,81,92,174,107,140,106,154,132,100,157,123,45
140,82,92,175,106,140,107,153,133,100,157,123,45
140,82,92,175,106,140,107,153,133,100,157,123,45
139,81,93,174,106,139,106,154,132,100,156,124,45
144,75,96,171,122,144,104,159,129,98,161,127,50
145,75,96,171,123,145,105,160,129,98,162,127,50
146,75,96,171,124,146,105,160,129,99,162,126,50
145,75,96,171,123,145,105,160,129,98,162,127,50
135,76,94,171,111,135,102,155,128,96,156,127,50
145,75,96,171,123,145,105,160,129,98,162,127,50
145,75,96,171,123,145,105,160,129,98,162,127,50
145,75,96,171,123,145,105,160,129,98,162,127,50
145,75,96,171,123,145,105,160,129,98,162,127,50
145,75,96,171,123,145,105,160,129,98,162,127,50
132,71,92,170,118,132,97,157,127,92,157,128,55
133,71,92,170,119,133,98,157,128,92,157,128,55
132,71,92,170,118,132,97,157,127,92,157,128,55
133,71,93,169,119,133,98,157,127,92,157,129,55
131,71,92,170,117,131,97,156,127,91,157,129,55
132,71,92,170,118,132,97,157,127,92,157,128,55
133,71,92,170,119,133,98,157,128,92,157,128,55
133,71,92,170,119,133,98,157,128,92,157,128,55
132,71,92,170,118,132,97,157,127,92,157,128,55
132,71,92,170,118,132,97,157,127,92,157,128,55
Date: 16th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
144,124,136,162,35,144,138,138,124,131,137,131,5
146,126,130,174,35,146,140,136,129,132,138,127,5
146,126,130,174,35,146,140,136,129,132,138,127,5
146,126,130,174,35,146,140,136,129,132,138,127,5
146,126,129,176,35,146,140,136,129,132,138,126,5
146,126,129,176,35,146,140,136,129,132,138,126,5
146,126,130,174,35,146,140,136,129,132,138,127,5
146,126,130,174,35,146,140,136,129,132,138,127,5
146,126,130,174,35,146,140,136,129,132,138,127,5
146,126,130,174,35,146,140,136,129,132,138,127,5
139,116,122,172,42,139,130,138,128,124,139,127,10
140,117,123,172,42,140,132,138,128,125,139,127,10
139,116,123,171,42,139,131,138,128,124,139,127,10
139,117,122,173,40,139,131,138,128,124,139,127,10
140,117,122,173,42,140,131,138,129,124,139,127,10
139,117,122,173,40,139,131,138,128,124,139,127,10
139,117,122,173,40,139,131,138,128,124,139,127,10
139,117,122,173,40,139,131,138,128,124,139,127,10
139,117,122,173,40,139,131,138,128,124,139,127,10
139,117,122,173,40,139,131,138,128,124,139,127,10
146,119,125,173,47,146,135,139,129,128,141,126,15
146,118,125,172,49,146,134,140,128,127,142,127,15
144,118,127,170,46,144,134,140,127,127,140,128,15
144,118,127,170,46,144,134,140,127,127,140,128,15
146,118,125,172,49,146,134,140,128,127,142,127,15
146,118,125,172,49,146,134,140,128,127,142,127,15
145,118,127,170,47,145,134,140,127,127,141,128,15
145,118,127,170,47,145,134,140,127,127,141,128,15
146,118,125,172,49,146,134,140,128,127,142,127,15
145,119,125,173,46,145,134,139,129,127,141,127,15
141,108,120,169,60,141,126,143,126,119,144,129,20
140,108,120,169,58,140,125,143,126,119,143,129,20
140,108,120,169,58,140,125,143,126,119,143,129,20
140,108,120,169,58,140,125,143,126,119,143,129,20
140,108,120,169,58,140,125,143,126,119,143,129,20
141,108,120,169,60,141,126,143,126,119,144,129,20
140,108,120,169,58,140,125,143,126,119,143,129,20
140,108,120,169,58,140,125,143,126,119,143,129,20
140,108,120,169,58,140,125,143,126,119,143,129,20
140,108,120,169,58,140,125,143,126,119,143,129,20
155,104,117,172,84,155,127,150,129,121,152,126,25
155,103,117,172,86,155,126,151,129,120,153,126,25
154,103,117,172,84,154,126,151,129,120,152,126,25
155,103,117,172,86,155,126,151,129,120,153,126,25
155,103,117,172,86,155,126,151,129,120,153,126,25
155,103,118,171,86,155,126,151,128,120,153,127,25
155,103,118,171,86,155,126,151,128,120,153,127,25
155,104,117,172,84,155,127,150,129,121,152,126,25
155,104,117,172,84,155,127,150,129,121,152,126,25
155,103,117,172,86,155,126,151,129,120,153,126,25
150,94,110,171,95,150,119,153,128,113,154,126,30
149,94,110,171,94,149,118,153,128,112,154,127,30
149,94,110,171,94,149,118,153,128,112,154,127,30
150,94,110,171,95,150,119,153,128,113,154,126,30
148,94,110,171,93,148,118,152,128,112,154,127,30
149,94,110,171,94,149,118,153,128,112,154,127,30
149,94,110,171,94,149,118,153,128,112,154,127,30
149,94,110,171,94,149,118,153,128,112,154,127,30
149,94,110,171,94,149,118,153,128,112,154,127,30
149,94,110,171,94,149,118,153,128,112,154,127,30
137,92,108,169,84,137,113,149,126,107,149,129,35
137,92,108,169,84,137,113,149,126,107,149,129,35
138,92,108,170,85,138,113,149,127,108,149,128,35
138,92,108,170,85,138,113,149,127,108,149,128,35
137,92,108,169,84,137,113,149,126,107,149,129,35
138,92,107,170,85,138,113,149,127,107,150,128,35
138,92,108,170,85,138,113,149,127,108,149,128,35
138,92,108,170,85,138,113,149,127,108,149,128,35
137,92,108,169,84,137,113,149,126,107,149,129,35
137,92,108,169,84,137,113,149,126,107,149,129,35
130,82,106,165,94,130,104,152,122,99,150,132,40
131,82,106,165,95,131,105,152,123,99,151,132,40
131,82,106,165,95,131,105,152,123,99,151,132,40
131,82,106,165,95,131,105,152,123,99,151,132,40
131,82,106,165,95,131,105,152,123,99,151,132,40
131,82,106,165,95,131,105,152,123,99,151,132,40
131,82,106,165,95,131,105,152,123,99,151,132,40
131,82,107,165,95,131,105,152,122,100,150,132,40
130,82,107,164,94,130,104,152,122,99,150,133,40
131,82,107,165,95,131,105,152,122,100,150,132,40
132,77,89,173,106,132,101,153,131,95,154,125,45
143,76,90,174,119,143,104,158,132,98,160,123,45
142,76,90,174,119,142,104,157,132,97,160,124,45
142,76,90,174,119,142,104,157,132,97,160,124,45
132,77,89,173,106,132,101,153,131,95,154,125,45
143,76,90,174,119,143,104,158,132,98,160,123,45
143,76,90,174,119,143,104,158,132,98,160,123,45
132,77,89,173,106,132,101,153,131,95,154,125,45
132,77,89,173,106,132,101,153,131,95,154,125,45
143,76,90,174,119,143,104,158,132,98,160,123,45
