
Date: 14th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
144,124,136,162,35,144,138,138,124,131,137,131,15
146,125,129,174,37,146,139,137,129,132,138,126,15
144,124,130,171,35,144,138,137,128,131,137,127,15
144,124,130,171,35,144,138,137,128,131,137,127,15
144,124,130,171,35,144,138,137,128,131,137,127,15
144,124,130,171,35,144,138,137,128,131,137,127,15
144,124,128,174,35,144,138,136,129,130,138,127,15
145,124,128,174,37,145,138,137,129,131,138,126,15
145,125,128,176,35,145,139,136,129,131,138,126,15
145,124,128,174,37,145,138,137,129,131,138,126,15
140,113,118,174,49,140,128,140,129,122,141,126,20
140,113,119,173,49,140,129,140,129,122,141,126,20
140,113,119,173,49,140,129,140,129,122,141,126,20
139,113,118,174,48,139,128,139,129,121,141,126,20
140,113,118,174,49,140,128,140,129,122,141,126,20
140,113,118,174,49,140,128,140,129,122,141,126,20
140,113,119,173,49,140,129,140,129,122,141,126,20
140,113,118,174,49,140,128,140,129,122,141,126,20
140,113,118,174,49,140,128,140,129,122,141,126,20
140,113,118,174,49,140,128,140,129,122,141,126,20
156,103,118,172,87,156,127,152,128,121,153,126,25
156,103,118,172,87,156,127,152,128,121,153,126,25
156,103,117,172,87,156,126,151,129,120,154,126,25
156,103,117,172,87,156,126,151,129,120,154,126,25
156,103,117,172,87,156,126,151,129,120,154,126,25
156,103,117,172,87,156,126,151,129,120,154,126,25
156,103,117,172,87,156,126,151,129,120,154,126,25
156,103,118,172,87,156,127,152,128,121,153,126,25
156,103,118,172,87,156,127,152,128,121,153,126,25
156,103,118,172,87,156,127,152,128,121,153,126,25
153,94,113,170,98,153,120,155,127,114,156,127,30
153,93,114,170,100,153,119,156,127,113,157,129,30
153,93,114,170,100,153,119,156,127,113,157,129,30
152,94,113,170,97,152,119,154,127,114,155,127,30
152,94,113,170,97,152,119,154,127,114,155,127,30
153,94,113,170,98,153,120,155,127,114,156,127,30
152,94,113,170,97,152,119,154,127,114,155,127,30
153,93,114,170,100,153,119,156,127,113,157,129,30
153,93,114,170,100,153,119,156,127,113,157,129,30
152,94,112,171,97,152,119,154,128,113,156,127,30
139,83,96,173,103,139,107,153,130,101,155,125,35
140,83,96,173,104,140,108,154,131,102,155,125,35
140,83,96,173,104,140,108,154,131,102,155,125,35
141,83,96,173,105,141,108,154,131,102,156,125,35
141,83,96,173,105,141,108,154,131,102,156,125,35
140,83,96,173,104,140,108,154,131,102,155,125,35
140,83,96,173,104,140,108,154,131,102,155,125,35
141,83,96,173,105,141,108,154,131,102,156,125,35
140,83,96,173,104,140,108,154,131,102,155,125,35
140,83,96,173,104,140,108,154,131,102,155,125,35
129,70,88,171,117,129,95,155,129,90,156,127,40
128,70,88,171,116,128,95,155,128,89,156,127,40
128,70,89,170,116,128,95,155,128,90,155,127,40
128,70,88,171,116,128,95,155,128,89,156,127,40
129,70,88,171,117,129,95,155,129,90,156,127,40
129,70,88,171,117,129,95,155,129,90,156,127,40
129,70,88,171,117,129,95,155,129,90,156,127,40
129,70,88,171,117,129,95,155,129,90,156,127,40
129,70,88,171,117,129,95,155,129,90,156,127,40
128,70,88,171,116,128,95,155,128,89,156,127,40
130,61,83,170,135,130,90,161,129,84,161,127,45
129,61,83,170,134,129,90,160,129,84,160,127,45
130,61,83,170,135,130,90,161,129,84,161,127,45
130,61,82,171,135,130,90,160,129,84,161,127,45
130,61,82,171,135,130,90,160,129,84,161,127,45
130,61,82,171,135,130,90,160,129,84,161,127,45
130,61,82,171,135,130,90,160,129,84,161,127,45
130,61,82,171,135,130,90,160,129,84,161,127,45
130,61,82,171,135,130,90,160,129,84,161,127,45
129,61,83,170,134,129,90,160,129,84,160,127,45
122,48,66,173,155,122,79,162,133,72,164,125,50
122,48,66,173,155,122,79,162,133,72,164,125,50
122,48,66,173,155,122,79,162,133,72,164,125,50
121,48,65,173,154,121,79,161,134,72,163,124,50
122,48,66,173,155,122,79,162,133,72,164,125,50
122,48,66,173,155,122,79,162,133,72,164,125,50
122,48,66,173,155,122,79,162,133,72,164,125,50
122,48,66,173,155,122,79,162,133,72,164,125,50
122,48,66,173,155,122,79,162,133,72,164,125,50
122,49,65,173,153,122,80,161,134,73,163,123,50
116,42,57,174,163,116,73,162,136,66,164,123,55
116,42,57,174,163,116,73,162,136,66,164,123,55
116,42,57,174,163,116,73,162,136,66,164,123,55
116,42,58,174,163,116,73,162,135,66,164,123,55
116,42,58,174,163,116,73,162,135,66,164,123,55
116,42,58,174,163,116,73,162,135,66,164,123,55
115,42,57,174,162,115,72,161,135,66,163,123,55
116,42,58,174,163,116,73,162,135,66,164,123,55
116,42,58,174,163,116,73,162,135,66,164,123,55
116,42,58,174,163,116,73,162,135,66,164,123,55
