
Date: 20th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
Date: 20th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
98,44,63,169,141,98,66,154,128,62,154,129,134
97,43,63,169,142,97,65,155,127,61,154,129,134
98,44,62,170,141,98,66,154,128,62,154,128,134
98,43,63,169,143,98,66,156,127,62,154,129,134
97,43,64,168,142,97,66,155,127,62,153,129,134
96,43,63,169,141,96,65,155,127,61,153,129,134
97,43,64,168,142,97,66,155,127,62,153,129,134
97,43,63,169,142,97,65,155,127,61,154,129,134
96,43,64,168,141,96,65,155,126,61,153,130,134
97,43,62,169,142,97,65,155,128,61,154,129,134
