Date: 8th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
118,91,70,13,104,118,104,136,144,97,143,113,100
122,92,65,14,119,122,106,137,148,98,145,109,100
121,92,65,14,118,121,106,136,148,98,144,109,100
123,92,65,14,120,123,106,137,148,98,146,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
123,92,64,14,122,123,106,137,149,98,146,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
123,92,64,14,122,123,106,137,149,98,146,109,100
121,92,64,15,120,121,105,136,149,97,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,91,66,13,117,122,105,137,147,97,146,111,100
123,91,65,13,120,123,105,138,148,98,146,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
123,92,64,14,122,123,106,137,149,98,146,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
121,92,65,14,118,121,106,136,148,98,144,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
121,92,64,15,120,121,105,136,149,97,145,109,100
121,92,65,14,118,121,106,136,148,98,144,109,100
122,92,66,14,117,122,106,137,148,98,145,110,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,91,65,14,119,122,105,137,148,97,146,110,100
122,91,65,14,119,122,105,137,148,97,146,110,100
122,92,65,14,119,122,106,137,148,98,145,109,100
121,91,65,14,118,121,105,137,148,97,145,110,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
120,92,65,15,117,120,105,136,148,97,144,110,100
121,91,66,14,116,121,105,137,147,97,145,111,100
121,92,66,14,116,121,106,136,147,98,144,110,100
121,92,66,14,116,121,106,136,147,98,144,110,100
121,91,66,14,116,121,105,137,147,97,145,111,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
121,92,65,14,118,121,106,136,148,98,144,109,100
122,91,65,14,119,122,105,137,148,97,146,110,100
122,91,65,14,119,122,105,137,148,97,146,110,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
123,92,64,14,122,123,106,137,149,98,146,109,100
122,91,65,14,119,122,105,137,148,97,146,110,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,91,65,14,119,122,105,137,148,97,146,110,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,91,65,14,119,122,105,137,148,97,146,110,100
122,91,65,14,119,122,105,137,148,97,146,110,100
122,91,65,14,119,122,105,137,148,97,146,110,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,91,65,14,119,122,105,137,148,97,146,110,100
121,91,65,14,118,121,105,137,148,97,145,110,100
122,91,65,14,119,122,105,137,148,97,146,110,100
122,91,66,13,117,122,105,137,147,97,146,111,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,91,64,14,121,122,105,137,148,97,146,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,64,14,121,122,106,136,149,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,91,66,13,117,122,105,137,147,97,146,111,100
122,92,65,14,119,122,106,137,148,98,145,109,100
122,92,65,14,119,122,106,137,148,98,145,109,100
