Date: 8th feb
Description: testing data set after 1 hr
r,g,b,h,s,v,l,a,lab,y,cr,cb, val, prediction
33,0,39,145,255,39,11,149,111,14,142,142,1000,963.7973292499983
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
33,0,37,147,255,37,10,151,111,14,142,141,1000,947.423204911
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,36,148,255,36,11,149,113,14,142,140,1000,922.0248582370001
35,0,36,149,255,36,11,150,113,15,142,140,1000,910.6961508109995
34,0,35,149,255,35,10,151,113,14,142,140,1000,919.9804065240002
35,0,35,150,255,35,11,149,114,14,143,140,1000,912.0917920409998
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
32,0,36,147,255,36,10,147,112,14,141,140,1000,962.1154021240001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
35,0,35,150,255,35,11,149,114,14,143,140,1000,912.0917920409998
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,38,147,255,38,11,150,111,14,142,142,1000,915.9494520930002
34,0,38,147,255,38,11,150,111,14,142,142,1000,915.9494520930002
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
32,0,36,147,255,36,10,147,112,14,141,140,1000,962.1154021240001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,35,150,255,35,11,149,114,14,143,140,1000,912.0917920409998
35,0,35,150,255,35,11,149,114,14,143,140,1000,912.0917920409998
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
35,0,35,150,255,35,11,149,114,14,143,140,1000,912.0917920409998
35,0,35,150,255,35,11,149,114,14,143,140,1000,912.0917920409998
35,0,35,150,255,35,11,149,114,14,143,140,1000,912.0917920409998
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,38,148,255,38,11,150,111,15,142,141,1000,901.8045484429998
34,0,38,147,255,38,11,150,111,14,142,142,1000,915.9494520930002
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,35,150,255,35,11,149,114,14,143,140,1000,912.0917920409998
35,0,35,150,255,35,11,149,114,14,143,140,1000,912.0917920409998
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
32,0,36,147,255,36,10,147,112,14,141,140,1000,962.1154021240001
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
32,0,37,146,255,37,10,149,111,14,141,141,1000,961.5715491880009
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
34,0,37,148,255,37,11,150,112,14,142,141,1000,914.7828471870001
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996
35,0,37,148,255,37,11,150,112,15,142,140,1000,908.1913305719996Date: 8th frb
Description: testing sample after 3hr
r,g,b,h,s,v,l,a,lab,y,cr,cb, val, prediction
118,90,75,190,93,118,104,137,141,97,143,116,100,97.04821292999976
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
120,91,72,192,102,120,105,137,144,98,144,113,100,102.39345233799943
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
119,90,73,191,99,119,104,138,142,97,144,114,100,101.35389883499994
120,90,72,191,102,120,104,138,143,97,144,114,100,94.79483875299962
121,91,73,191,101,121,105,138,143,98,144,114,100,89.81825896199967
122,91,71,192,107,122,105,138,144,98,145,113,100,95.29824338699976
120,90,72,191,102,120,104,138,143,97,144,114,100,94.79483875299962
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
120,90,72,191,102,120,104,138,143,97,144,114,100,94.79483875299962
120,90,72,191,102,120,104,138,143,97,144,114,100,94.79483875299962
121,90,73,191,101,121,105,138,143,97,145,114,100,103.92291361999975
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
121,91,73,191,101,121,105,138,143,98,144,114,100,89.81825896199967
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
121,90,73,191,101,121,105,138,143,97,145,114,100,103.92291361999975
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
120,90,72,191,102,120,104,138,143,97,144,114,100,94.79483875299962
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
121,90,73,191,101,121,105,138,143,97,145,114,100,103.92291361999975
120,90,72,191,102,120,104,138,143,97,144,114,100,94.79483875299962
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
121,90,73,191,101,121,105,138,143,97,145,114,100,103.92291361999975
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
121,90,73,191,101,121,105,138,143,97,145,114,100,103.92291361999975
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
119,90,73,191,99,119,104,138,142,97,144,114,100,101.35389883499994
120,90,74,190,98,120,104,138,142,97,144,115,100,90.23941721900006
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
120,90,74,190,98,120,104,138,142,97,144,115,100,90.23941721900006
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
120,90,74,190,98,120,104,138,142,97,144,115,100,90.23941721900006
120,90,72,191,102,120,104,138,143,97,144,114,100,94.79483875299962
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
121,90,73,191,101,121,105,138,143,97,145,114,100,103.92291361999975
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
120,90,72,191,102,120,104,138,143,97,144,114,100,94.79483875299962
121,90,73,191,101,121,105,138,143,97,145,114,100,103.92291361999975
121,90,73,191,101,121,105,138,143,97,145,114,100,103.92291361999975
119,90,72,191,101,119,104,137,143,97,144,114,100,102.2833819729995
121,91,73,191,101,121,105,138,143,98,144,114,100,89.81825896199967
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
121,90,73,191,101,121,105,138,143,97,145,114,100,103.92291361999975
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
120,90,74,190,98,120,104,138,142,97,144,115,100,90.23941721900006
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
120,91,73,191,100,120,105,137,143,98,144,114,100,97.30680218199979
121,91,73,191,101,121,105,138,143,98,144,114,100,89.81825896199967
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
121,90,73,191,101,121,105,138,143,97,145,114,100,103.92291361999975
120,91,73,191,100,120,105,137,143,98,144,114,100,97.30680218199979
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
120,90,72,191,102,120,104,138,143,97,144,114,100,94.79483875299962
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
121,91,73,191,101,121,105,138,143,98,144,114,100,89.81825896199967
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
120,90,72,191,102,120,104,138,143,97,144,114,100,94.79483875299962
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
120,90,72,191,102,120,104,138,143,97,144,114,100,94.79483875299962
121,91,73,191,101,121,105,138,143,98,144,114,100,89.81825896199967
121,90,73,191,101,121,105,138,143,97,145,114,100,103.92291361999975
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
120,91,73,191,100,120,105,137,143,98,144,114,100,97.30680218199979
121,90,73,191,101,121,105,138,143,97,145,114,100,103.92291361999975
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
121,91,73,191,101,121,105,138,143,98,144,114,100,89.81825896199967
119,90,73,191,99,119,104,138,142,97,144,114,100,101.35389883499994
120,91,73,191,100,120,105,137,143,98,144,114,100,97.30680218199979
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
121,91,73,191,101,121,105,138,143,98,144,114,100,89.81825896199967
121,91,73,191,101,121,105,138,143,98,144,114,100,89.81825896199967
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
121,91,73,191,101,121,105,138,143,98,144,114,100,89.81825896199967
121,91,73,191,101,121,105,138,143,98,144,114,100,89.81825896199967
120,90,72,191,102,120,104,138,143,97,144,114,100,94.79483875299962
120,91,72,192,102,120,105,137,144,98,144,113,100,102.39345233799943
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945
121,91,73,191,101,121,105,138,143,98,144,114,100,89.81825896199967
120,91,73,191,100,120,105,137,143,98,144,114,100,97.30680218199979
120,91,73,191,100,120,105,137,143,98,144,114,100,97.30680218199979
120,91,73,191,100,120,105,137,143,98,144,114,100,97.30680218199979
119,90,73,191,99,119,104,138,142,97,144,114,100,101.35389883499994
120,90,73,191,100,120,104,138,143,97,144,114,100,95.32606737499992
121,90,74,190,99,121,105,138,142,97,145,115,100,98.83626346400011
121,91,72,192,103,121,105,137,144,98,144,113,100,96.67147893399945Date: 8th feb
Description: testing sample after 3hr
r,g,b,h,s,v,l,a,lab,y,cr,cb, val, prediction
100,58,68,173,107,100,76,148,130,72,148,126,200,209.70901666999978
101,59,68,174,106,101,77,148,131,73,148,125,200,207.99529382699995
101,59,67,174,106,101,77,148,131,72,149,125,200,203.74083142499967
101,59,67,174,106,101,77,148,131,72,149,125,200,203.74083142499967
101,59,68,174,106,101,77,148,131,73,148,125,200,207.99529382699995
101,59,67,174,106,101,77,148,131,72,149,125,200,203.74083142499967
101,59,67,174,106,101,77,148,131,72,149,125,200,203.74083142499967
102,59,67,174,108,102,77,148,131,73,149,125,200,206.56483488799984
100,59,68,173,105,100,77,148,130,72,148,126,200,200.4653081899999
100,59,68,173,105,100,77,148,130,72,148,126,200,200.4653081899999
102,59,67,174,108,102,77,148,131,73,149,125,200,206.56483488799984
100,59,67,174,105,100,77,147,131,72,148,125,200,205.4947349539998
101,59,67,174,106,101,77,148,131,72,149,125,200,203.74083142499967
101,59,67,174,106,101,77,148,131,72,149,125,200,203.74083142499967
102,59,67,174,108,102,77,148,131,73,149,125,200,206.56483488799984
101,59,67,174,106,101,77,148,131,72,149,125,200,203.74083142499967
101,59,68,174,106,101,77,148,131,73,148,125,200,207.99529382699995
100,59,67,174,105,100,77,147,131,72,148,125,200,205.4947349539998
101,59,67,174,106,101,77,148,131,72,149,125,200,203.74083142499967
101,59,67,174,106,101,77,148,131,72,149,125,200,203.74083142499967
101,59,68,174,106,101,77,148,131,73,148,125,200,207.99529382699995
101,59,67,174,106,101,77,148,131,72,149,125,200,203.74083142499967
101,59,67,174,106,101,77,148,131,72,149,125,200,203.74083142499967
101,59,67,174,106,101,77,148,131,72,149,125,200,203.74083142499967
102,59,67,174,108,102,77,148,131,73,149,125,200,206.56483488799984
101,59,67,174,106,101,77,148,131,72,149,125,200,203.74083142499967
