
Date: 17th feb
Description: trig checfk
r,g,b,h,s,v,l,a,lab,y,cr,cb, val, prediction
118,88,93,175,65,118,104,141,130,98,142,125,100,58.80886660799979
120,89,89,180,66,120,105,141,133,98,144,123,100,68.00659609999995
120,89,89,180,66,120,105,141,133,98,144,123,100,68.00659609999995
119,89,90,179,64,119,104,141,132,98,143,123,100,55.82726759900008
120,89,90,179,66,120,105,141,132,98,144,123,100,65.33601044800018
119,89,90,179,64,119,104,141,132,98,143,123,100,55.82726759900008
119,89,90,179,64,119,104,141,132,98,143,123,100,55.82726759900008
121,89,89,180,67,121,105,141,133,99,144,122,100,70.51097425500006
120,89,89,180,66,120,105,141,133,98,144,123,100,68.00659609999995
120,89,89,180,66,120,105,141,133,98,144,123,100,68.00659609999995
118,77,82,176,89,118,95,146,132,90,148,123,200,123.98321186199955
119,78,80,179,88,119,96,146,134,90,149,122,200,126.01707780700053
119,78,80,179,88,119,96,146,134,90,149,122,200,126.01707780700053
118,78,81,178,86,118,96,145,133,90,148,123,200,123.59622778400016
118,78,81,178,86,118,96,145,133,90,148,123,200,123.59622778400016
118,78,81,178,86,118,96,145,133,90,148,123,200,123.59622778400016
118,78,81,178,86,118,96,145,133,90,148,123,200,123.59622778400016
119,78,81,178,88,119,96,146,133,91,148,122,200,125.24593272700031
118,78,81,178,86,118,96,145,133,90,148,123,200,123.59622778400016
118,78,81,178,86,118,96,145,133,90,148,123,200,123.59622778400016
116,64,71,176,114,116,86,151,134,80,154,123,300,213.56121553999986
117,64,72,175,116,117,86,152,133,81,154,123,300,211.94806353500002
117,64,71,176,116,117,86,151,134,81,154,122,300,216.97749029899967
117,64,71,176,116,117,86,151,134,81,154,122,300,216.97749029899967
117,64,70,177,116,117,86,152,135,81,154,122,300,217.881506135
117,64,70,177,116,117,86,152,135,81,154,122,300,217.881506135
117,64,71,176,116,117,86,151,134,81,154,122,300,216.97749029899967
117,64,71,176,116,117,86,151,134,81,154,122,300,216.97749029899967
117,64,70,177,116,117,86,152,135,81,154,122,300,217.881506135
117,64,71,176,116,117,86,151,134,81,154,122,300,216.97749029899967
109,43,55,175,154,109,70,159,135,64,160,123,400,350.0256127939997
109,44,54,175,152,109,70,158,136,65,159,122,400,333.7951261540001
109,43,54,175,154,109,70,158,136,64,160,122,400,349.72357401999983
109,43,55,175,154,109,70,159,135,64,160,123,400,350.0256127939997
110,43,54,175,155,110,70,159,136,64,161,122,400,347.9696704909998
109,43,54,175,154,109,70,158,136,64,160,122,400,349.72357401999983
109,43,55,175,154,109,70,159,135,64,160,123,400,350.0256127939997
109,43,55,175,154,109,70,159,135,64,160,123,400,350.0256127939997
109,43,55,175,154,109,70,159,135,64,160,123,400,350.0256127939997
109,43,55,175,154,109,70,159,135,64,160,123,400,350.0256127939997
101,37,49,174,162,101,63,158,135,58,159,123,500,377.09290939299984
102,37,48,175,163,102,63,158,136,58,159,122,500,374.6337929369996
102,37,49,174,163,102,63,159,135,58,159,123,500,369.60436617299996
102,37,48,175,163,102,63,158,136,58,159,122,500,374.6337929369996
103,38,49,175,161,103,65,158,136,59,159,122,500,377.3294964999999
102,38,49,175,160,102,64,158,136,58,159,123,500,366.24093838699986
103,38,49,175,161,103,65,158,136,59,159,122,500,377.3294964999999
103,38,49,175,161,103,65,158,136,59,159,122,500,377.3294964999999
103,39,49,175,158,103,65,158,136,59,159,122,500,358.5897114579999
102,38,49,175,160,102,64,158,136,58,159,123,500,366.24093838699986
