
Date: 20th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
108,56,74,170,123,108,78,153,127,74,152,128,8
108,56,74,170,123,108,78,153,127,74,152,128,8
107,56,74,169,122,107,78,153,127,73,152,129,8
108,56,74,170,123,108,78,153,127,74,152,128,8
108,56,74,170,123,108,78,153,127,74,152,128,8
108,56,74,170,123,108,78,153,127,74,152,128,8
108,56,74,170,123,108,78,153,127,74,152,128,8
108,56,74,170,123,108,78,153,127,74,152,128,8
108,55,75,169,125,108,78,154,126,73,153,129,8
108,56,75,169,123,108,78,154,127,74,152,129,8
